epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8438,3.25817,5.46558,2.8332,4e-05,0.00444,5e-05,2e-05,3.47088,4.74302,3.3103,1.785e-05,1.785e-05,1.785e-05
2,17.3222,3.20685,5.40195,2.82137,4e-05,0.00521,8e-05,3e-05,3.45533,4.56459,3.12942,3.32379e-05,3.32379e-05,3.32379e-05
3,24.5347,3.18023,5.39288,2.7998,4e-05,0.00638,0.00032,0.00012,3.27597,4.50053,2.91361,4.48559e-05,4.48559e-05,4.48559e-05
4,31.082,3.05267,5.41473,2.7433,5e-05,0.00704,0.00055,0.0002,3.10677,4.47041,2.79958,5.27039e-05,5.27039e-05,5.27039e-05
5,36.9203,2.99159,5.34892,2.68358,7e-05,0.01035,0.00062,0.00025,2.95178,4.43507,2.74311,5.6782e-05,5.6782e-05,5.6782e-05
6,42.2899,2.95394,5.26537,2.64331,7e-05,0.01132,0.0007,0.00027,2.89272,4.43432,2.70273,5.70903e-05,5.70903e-05,5.70903e-05
7,48.1025,3.00137,5.25827,2.67498,0.01556,0.01647,0.01,0.00386,2.85958,4.4212,2.67303,4.8314e-05,4.8314e-05,4.8314e-05
8,53.3563,2.92348,5.30214,2.61057,0.01486,0.01745,0.00988,0.00218,2.84179,4.41041,2.63814,3.6533e-05,3.6533e-05,3.6533e-05
9,58.2499,2.89119,5.22332,2.57598,0.00147,0.0133,0.00353,0.0012,2.81639,4.39651,2.60789,2.4752e-05,2.4752e-05,2.4752e-05
10,62.8195,2.89375,5.16508,2.60116,0.00223,0.01324,0.00383,0.00126,2.81885,4.3948,2.58714,1.2971e-05,1.2971e-05,1.2971e-05
